-------------------------------G4_H
-------------------------------gamma
### Fill Cross Sections for gamma off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  231       20.65           0           0            0
  232       21.13           0           0            0
  233       21.63           0           0            0
  234       22.13           0           0            0
  235       22.65           0           0            0
  236       23.17           0           0            0
  237       23.71           0           0            0
  238       24.27           0           0            0
  239       24.83           0           0            0
  240       25.41           0           0            0
  241          26           0           0            0
  242       26.61           0           0            0
  243       27.23           0           0            0
  244       27.86           0           0            0
  245       28.51           0           0            0
  246       29.17           0           0            0
  247       29.85           0           0            0
  248       30.55           0           0            0
  249       31.26           0           0            0
  250       31.99           0           0            0
  251       32.73           0           0            0
  252        33.5           0           0            0
  253       34.28           0           0            0
  254       35.08           0           0            0
  255       35.89           0           0            0
  256       36.73           0           0            0
  257       37.58           0           0            0
  258       38.46           0           0            0
  259       39.36           0           0            0
  260       40.27           0           0            0
  261       41.21           0           0            0
  262       42.17           0           0            0
  263       43.15           0           0            0
  264       44.16           0           0            0
  265       45.19           0           0            0
  266       46.24           0           0            0
  267       47.32           0           0            0
  268       48.42           0           0            0
  269       49.55           0           0            0
  270        50.7           0           0            0
  271       51.88           0           0            0
  272       53.09           0           0            0
  273       54.33           0           0            0
  274       55.59           0           0            0
  275       56.89           0           0            0
  276       58.21           0           0            0
  277       59.57           0           0            0
  278       60.95           0           0            0
  279       62.37           0           0            0
  280       63.83           0           0            0
  281       65.31           0           0            0
  282       66.83           0           0            0
  283       68.39           0           0            0
  284       69.98           0           0            0
  285       71.61           0           0            0
  286       73.28           0           0            0
  287       74.99           0           0            0
  288       76.74           0           0            0
  289       78.52           0           0            0
  290       80.35           0           0            0
  291       82.22           0           0            0
  292       84.14           0           0            0
  293        86.1           0           0            0
  294        88.1           0           0            0
  295       90.16           0           0            0
  296       92.26           0           0            0
  297       94.41           0           0            0
  298       96.61           0           0            0
  299       98.86           0           0            0
  300       101.2           0           0            0
  301       103.5           0           0            0
  302       105.9           0           0            0
  303       108.4           0           0            0
  304       110.9           0           0            0
  305       113.5           0           0            0
  306       116.1           0           0            0
  307       118.9           0           0            0
  308       121.6           0           0            0
  309       124.5           0           0            0
  310       127.4           0           0            0
  311       130.3           0           0            0
  312       133.4           0           0            0
  313       136.5           0   4.663e-07    4.663e-07
  314       139.6           0   4.749e-07    4.749e-07
  315       142.9           0   4.997e-07    4.997e-07
  316       146.2           0   5.517e-07    5.517e-07
  317       149.6           0   6.527e-07    6.527e-07
  318       153.1           0   8.395e-07    8.395e-07
  319       156.7           0   1.171e-06    1.171e-06
  320       160.3           0   1.745e-06    1.745e-06
  321       164.1           0   2.893e-06    2.893e-06
  322       167.9           0   4.927e-06    4.927e-06
  323       171.8           0   8.396e-06    8.396e-06
  324       175.8           0   1.403e-05    1.403e-05
  325       179.9           0   2.263e-05    2.263e-05
  326       184.1           0   3.505e-05    3.505e-05
  327       188.4           0   5.209e-05    5.209e-05
  328       192.8           0   7.122e-05    7.122e-05
  329       197.2           0   9.079e-05    9.079e-05
  330       201.8           0   0.0001097    0.0001097
  331       206.5           0   0.0001275    0.0001275
  332       211.3           0   0.0001443    0.0001443
  333       216.3           0   0.0001609    0.0001609
  334       221.3           0    0.000178     0.000178
  335       226.5           0   0.0001962    0.0001962
  336       231.7           0   0.0002159    0.0002159
  337       237.1           0   0.0002374    0.0002374
  338       242.7           0    0.000261     0.000261
  339       248.3           0   0.0002875    0.0002875
  340       254.1           0   0.0003165    0.0003165
  341         260           0   0.0003478    0.0003478
  342       266.1           0   0.0003811    0.0003811
  343       272.3           0   0.0004158    0.0004158
  344       278.6           0   0.0004511    0.0004511
  345       285.1           0    0.000485     0.000485
  346       291.7           0   0.0005153    0.0005153
  347       298.5           0   0.0005402    0.0005402
  348       305.5           0   0.0005577    0.0005577
  349       312.6           0   0.0005665    0.0005665
  350       319.9           0   0.0005656    0.0005656
  351       327.3           0   0.0005529    0.0005529
  352         335           0   0.0005322    0.0005322
  353       342.8           0   0.0005056    0.0005056
  354       350.8           0   0.0004749    0.0004749
  355       358.9           0   0.0004421    0.0004421
  356       367.3           0   0.0004088    0.0004088
  357       375.8           0   0.0003768    0.0003768
  358       384.6           0   0.0003469    0.0003469
  359       393.6           0   0.0003194    0.0003194
  360       402.7           0   0.0002946    0.0002946
  361       412.1           0   0.0002724    0.0002724
  362       421.7           0   0.0002528    0.0002528
  363       431.5           0   0.0002363    0.0002363
  364       441.6           0   0.0002221    0.0002221
  365       451.9           0   0.0002101    0.0002101
  366       462.4           0      0.0002       0.0002
  367       473.2           0   0.0001919    0.0001919
  368       484.2           0   0.0001856    0.0001856
  369       495.5           0   0.0001813    0.0001813
  370         507           0   0.0001788    0.0001788
  371       518.8           0   0.0001779    0.0001779
  372       530.9           0   0.0001787    0.0001787
  373       543.3           0   0.0001812    0.0001812
  374       555.9           0   0.0001854    0.0001854
  375       568.9           0   0.0001917    0.0001917
  376       582.1           0   0.0001998    0.0001998
  377       595.7           0   0.0002097    0.0002097
  378       609.5           0   0.0002211    0.0002211
  379       623.7           0   0.0002337    0.0002337
  380       638.3           0   0.0002472    0.0002472
  381       653.1           0   0.0002606    0.0002606
  382       668.3           0   0.0002725    0.0002725
  383       683.9           0   0.0002819    0.0002819
  384       699.8           0   0.0002878    0.0002878
  385       716.1           0   0.0002894    0.0002894
  386       732.8           0   0.0002864    0.0002864
  387       749.9           0   0.0002785    0.0002785
  388       767.4           0   0.0002675    0.0002675
  389       785.2           0   0.0002549    0.0002549
  390       803.5           0   0.0002418    0.0002418
  391       822.2           0   0.0002292    0.0002292
  392       841.4           0   0.0002181    0.0002181
  393         861           0   0.0002098    0.0002098
  394         881           0   0.0002047    0.0002047
  395       901.6           0   0.0002029    0.0002029
  396       922.6           0   0.0002044    0.0002044
  397       944.1           0   0.0002086    0.0002086
  398       966.1           0   0.0002144    0.0002144
  399       988.6           0   0.0002189    0.0002189
  400        1012           0   0.0002196    0.0002196
  401        1035           0   0.0002162    0.0002162
  402        1059           0   0.0002096    0.0002096
  403        1084           0    0.000201     0.000201
  404        1109           0   0.0001917    0.0001917
  405        1135           0   0.0001831    0.0001831
  406        1161           0   0.0001758    0.0001758
  407        1189           0   0.0001696    0.0001696
  408        1216           0   0.0001646    0.0001646
  409        1245           0   0.0001606    0.0001606
  410        1274           0   0.0001576    0.0001576
  411        1303           0   0.0001555    0.0001555
  412        1334           0    0.000154     0.000154
  413        1365           0   0.0001529    0.0001529
  414        1396           0   0.0001521    0.0001521
  415        1429           0   0.0001514    0.0001514
  416        1462           0   0.0001509    0.0001509
  417        1496           0   0.0001504    0.0001504
  418        1531           0   0.0001499    0.0001499
  419        1567           0   0.0001494    0.0001494
  420        1603           0   0.0001488    0.0001488
  421        1641           0   0.0001483    0.0001483
  422        1679           0   0.0001477    0.0001477
  423        1718           0   0.0001471    0.0001471
  424        1758           0   0.0001465    0.0001465
  425        1799           0    0.000146     0.000146
  426        1841           0   0.0001454    0.0001454
  427        1884           0   0.0001449    0.0001449
  428        1928           0   0.0001443    0.0001443
  429        1972           0   0.0001438    0.0001438
  430        2018           0   0.0001433    0.0001433
  431        2065           0   0.0001428    0.0001428
  432        2113           0   0.0001423    0.0001423
  433        2163           0   0.0001418    0.0001418
  434        2213           0   0.0001414    0.0001414
  435        2265           0   0.0001409    0.0001409
  436        2317           0   0.0001404    0.0001404
  437        2371           0     0.00014      0.00014
  438        2427           0   0.0001395    0.0001395
  439        2483           0   0.0001391    0.0001391
  440        2541           0   0.0001386    0.0001386
  441        2600           0   0.0001382    0.0001382
  442        2661           0   0.0001378    0.0001378
  443        2723           0   0.0001373    0.0001373
  444        2786           0   0.0001369    0.0001369
  445        2851           0   0.0001364    0.0001364
  446        2917           0    0.000136     0.000136
  447        2985           0   0.0001356    0.0001356
  448        3055           0   0.0001352    0.0001352
  449        3126           0   0.0001348    0.0001348
  450        3199           0   0.0001343    0.0001343
  451        3273           0   0.0001339    0.0001339
  452        3350           0   0.0001335    0.0001335
  453        3428           0   0.0001331    0.0001331
  454        3508           0   0.0001327    0.0001327
  455        3589           0   0.0001323    0.0001323
  456        3673           0   0.0001319    0.0001319
  457        3758           0   0.0001316    0.0001316
  458        3846           0   0.0001312    0.0001312
  459        3936           0   0.0001308    0.0001308
  460        4027           0   0.0001305    0.0001305
  461        4121           0   0.0001301    0.0001301
  462        4217           0   0.0001297    0.0001297
  463        4315           0   0.0001294    0.0001294
  464        4416           0    0.000129     0.000129
  465        4519           0   0.0001287    0.0001287
  466        4624           0   0.0001284    0.0001284
  467        4732           0    0.000128     0.000128
  468        4842           0   0.0001277    0.0001277
  469        4955           0   0.0001274    0.0001274
  470        5070           0   0.0001271    0.0001271
  471        5188           0   0.0001268    0.0001268
  472        5309           0   0.0001265    0.0001265
  473        5433           0   0.0001262    0.0001262
  474        5559           0   0.0001259    0.0001259
  475        5689           0   0.0001256    0.0001256
  476        5821           0   0.0001253    0.0001253
  477        5957           0    0.000125     0.000125
  478        6095           0   0.0001248    0.0001248
  479        6237           0   0.0001245    0.0001245
  480        6383           0   0.0001242    0.0001242
  481        6531           0    0.000124     0.000124
  482        6683           0   0.0001237    0.0001237
  483        6839           0   0.0001235    0.0001235
  484        6998           0   0.0001232    0.0001232
  485        7161           0    0.000123     0.000123
  486        7328           0   0.0001227    0.0001227
  487        7499           0   0.0001225    0.0001225
  488        7674           0   0.0001223    0.0001223
  489        7852           0   0.0001221    0.0001221
  490        8035           0   0.0001218    0.0001218
  491        8222           0   0.0001216    0.0001216
  492        8414           0   0.0001214    0.0001214
  493        8610           0   0.0001212    0.0001212
  494        8810           0    0.000121     0.000121
  495        9016           0   0.0001208    0.0001208
  496        9226           0   0.0001206    0.0001206
  497        9441           0   0.0001204    0.0001204
  498        9661           0   0.0001202    0.0001202
  499        9886           0     0.00012      0.00012
  500   1.012e+04           0   0.0001199    0.0001199
  501   1.035e+04           0   0.0001197    0.0001197
  502   1.059e+04           0   0.0001195    0.0001195
  503   1.084e+04           0   0.0001193    0.0001193
  504   1.109e+04           0   0.0001192    0.0001192
  505   1.135e+04           0    0.000119     0.000119
  506   1.161e+04           0   0.0001189    0.0001189
  507   1.189e+04           0   0.0001187    0.0001187
  508   1.216e+04           0   0.0001186    0.0001186
  509   1.245e+04           0   0.0001184    0.0001184
  510   1.274e+04           0   0.0001183    0.0001183
  511   1.303e+04           0   0.0001181    0.0001181
  512   1.334e+04           0    0.000118     0.000118
  513   1.365e+04           0   0.0001179    0.0001179
  514   1.396e+04           0   0.0001177    0.0001177
  515   1.429e+04           0   0.0001176    0.0001176
  516   1.462e+04           0   0.0001175    0.0001175
  517   1.496e+04           0   0.0001173    0.0001173
  518   1.531e+04           0   0.0001172    0.0001172
  519   1.567e+04           0   0.0001171    0.0001171
  520   1.603e+04           0    0.000117     0.000117
  521   1.641e+04           0   0.0001169    0.0001169
  522   1.679e+04           0   0.0001168    0.0001168
  523   1.718e+04           0   0.0001167    0.0001167
  524   1.758e+04           0   0.0001166    0.0001166
  525   1.799e+04           0   0.0001165    0.0001165
  526   1.841e+04           0   0.0001164    0.0001164
  527   1.884e+04           0   0.0001163    0.0001163
  528   1.928e+04           0   0.0001162    0.0001162
  529   1.972e+04           0   0.0001161    0.0001161
  530   2.018e+04           0   0.0001161    0.0001161
  531   2.065e+04           0    0.000116     0.000116
  532   2.113e+04           0   0.0001159    0.0001159
  533   2.163e+04           0   0.0001158    0.0001158
  534   2.213e+04           0   0.0001158    0.0001158
  535   2.265e+04           0   0.0001157    0.0001157
  536   2.317e+04           0   0.0001156    0.0001156
  537   2.371e+04           0   0.0001156    0.0001156
  538   2.427e+04           0   0.0001155    0.0001155
  539   2.483e+04           0   0.0001155    0.0001155
  540   2.541e+04           0   0.0001154    0.0001154
  541     2.6e+04           0   0.0001154    0.0001154
  542   2.661e+04           0   0.0001153    0.0001153
  543   2.723e+04           0   0.0001153    0.0001153
  544   2.786e+04           0   0.0001152    0.0001152
  545   2.851e+04           0   0.0001152    0.0001152
  546   2.917e+04           0   0.0001151    0.0001151
  547   2.985e+04           0   0.0001151    0.0001151
  548   3.055e+04           0   0.0001151    0.0001151
  549   3.126e+04           0    0.000115     0.000115
