-------------------------------G4_H
-------------------------------sigma-
### Fill Cross Sections for sigma- off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  135       2.265      0.3743   1.402e-07       0.3743
  136       2.317      0.3658   1.501e-07       0.3658
  137       2.371      0.3573   1.601e-07       0.3573
  138       2.427      0.3487   1.702e-07       0.3487
  139       2.483        0.34   1.827e-07         0.34
  140       2.541      0.3312   2.062e-07       0.3312
  141         2.6      0.3223     2.3e-07       0.3223
  142       2.661      0.3133    2.54e-07       0.3133
  143       2.723      0.3042   2.783e-07       0.3042
  144       2.786      0.2949    3.03e-07       0.2949
  145       2.851      0.2856   3.279e-07       0.2856
  146       2.917      0.2762    3.53e-07       0.2762
  147       2.985      0.2666   3.785e-07       0.2666
  148       3.055      0.2569   4.043e-07       0.2569
  149       3.126      0.2472   4.304e-07       0.2472
  150       3.199      0.2373   4.723e-07       0.2373
  151       3.273      0.2273    5.26e-07       0.2273
  152        3.35      0.2172   5.804e-07       0.2172
  153       3.428      0.2069   6.353e-07       0.2069
  154       3.508      0.1966   6.909e-07       0.1966
  155       3.589      0.1861   7.472e-07       0.1861
  156       3.673      0.1755   8.041e-07       0.1755
  157       3.758      0.1648   8.617e-07       0.1648
  158       3.846      0.1539   9.199e-07       0.1539
  159       3.936      0.1429   9.856e-07       0.1429
  160       4.027      0.1318   1.092e-06       0.1318
  161       4.121      0.1206     1.2e-06       0.1206
  162       4.217      0.1149    1.31e-06       0.1149
  163       4.315      0.1147    1.42e-06       0.1147
  164       4.416      0.1144   1.532e-06       0.1144
  165       4.519      0.1142   1.645e-06       0.1142
  166       4.624      0.1139    1.76e-06       0.1139
  167       4.732      0.1137   1.875e-06       0.1137
  168       4.842      0.1134   2.036e-06       0.1134
  169       4.955      0.1132   2.223e-06       0.1132
  170        5.07      0.1129   2.412e-06       0.1129
  171       5.188      0.1127   2.603e-06       0.1127
  172       5.309      0.1124   2.796e-06       0.1124
