
-------------------------------G4_H
-------------------------------kaon-
### Fill Cross Sections for kaon- off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  159       3.936      0.2001           0       0.2001
  160       4.027      0.1989           0       0.1989
  161       4.121      0.1977           0       0.1977
  162       4.217      0.1965           0       0.1965
  163       4.315      0.1953           0       0.1953
  164       4.416      0.1941           0       0.1941
  165       4.519      0.1929           0       0.1929
  166       4.624      0.1916           0       0.1916
  167       4.732      0.1904           0       0.1904
  168       4.842      0.1891           0       0.1891
  169       4.955      0.1878           0       0.1878
  170        5.07      0.1865           0       0.1865
  171       5.188      0.1852           0       0.1852
  172       5.309      0.1838           0       0.1838
  173       5.433      0.1825           0       0.1825
  174       5.559      0.1811           0       0.1811
  175       5.689      0.1797           0       0.1797
  176       5.821      0.1783           0       0.1783
  177       5.957      0.1769           0       0.1769
  178       6.095      0.1755           0       0.1755
  179       6.237       0.174           0        0.174
  180       6.383      0.1726           0       0.1726
  181       6.531      0.1711           0       0.1711
  182       6.683      0.1696           0       0.1696
  183       6.839      0.1681           0       0.1681
  184       6.998      0.1665           0       0.1665
  185       7.161       0.165           0        0.165
  186       7.328      0.1634           0       0.1634
  187       7.499      0.1618           0       0.1618
  188       7.674      0.1602           0       0.1602
  189       7.852      0.1586           0       0.1586
  190       8.035      0.1569           0       0.1569
  191       8.222      0.1552           0       0.1552
  192       8.414      0.1535           0       0.1535
  193        8.61      0.1518           0       0.1518
  194        8.81      0.1501           0       0.1501
  195       9.016      0.1484           0       0.1484
  196       9.226      0.1466           0       0.1466
  197       9.441      0.1448           0       0.1448
  198       9.661       0.143           0        0.143
  199       9.886      0.1411           0       0.1411
  200       10.12      0.1396           0       0.1396
  201       10.35      0.1386           0       0.1386
  202       10.59      0.1376           0       0.1376
  203       10.84      0.1365           0       0.1365
  204       11.09      0.1355           0       0.1355
  205       11.35      0.1344           0       0.1344
  206       11.61      0.1334           0       0.1334
  207       11.89      0.1323           0       0.1323
  208       12.16      0.1312           0       0.1312
  209       12.45      0.1301           0       0.1301
  210       12.74      0.1289           0       0.1289
  211       13.03      0.1278           0       0.1278
  212       13.34      0.1267           0       0.1267
  213       13.65      0.1255           0       0.1255
  214       13.96      0.1243           0       0.1243
  215       14.29      0.1231           0       0.1231
  216       14.62      0.1219           0       0.1219
  217       14.96      0.1207           0       0.1207
  218       15.31      0.1194           0       0.1194
  219       15.67      0.1182           0       0.1182
  220       16.03      0.1169           0       0.1169
  221       16.41      0.1156           0       0.1156
  222       16.79      0.1143           0       0.1143
  223       17.18       0.113           0        0.113
  224       17.58      0.1117           0       0.1117
  225       17.99      0.1103           0       0.1103
  226       18.41       0.109           0        0.109
  227       18.84      0.1076           0       0.1076
  228       19.28      0.1062           0       0.1062
  229       19.72      0.1048           0       0.1048
  230       20.18      0.1034           0       0.1034
  231       20.65      0.1019           0       0.1019
  232       21.13      0.1004           0       0.1004
  233       21.63     0.09896           0      0.09896
  234       22.13     0.09746           0      0.09746
  235       22.65     0.09633           0      0.09633
  236       23.17     0.09536           0      0.09536
  237       23.71     0.09439           0      0.09439
  238       24.27     0.09339           0      0.09339
  239       24.83     0.09239           0      0.09239
  240       25.41     0.09137           0      0.09137
  241          26     0.09035           0      0.09035
  242       26.61      0.0893           0       0.0893
  243       27.23     0.08825           0      0.08825
  244       27.86     0.08718           0      0.08718
  245       28.51      0.0861           0       0.0861
  246       29.17     0.08501           0      0.08501
  247       29.85      0.0839           0       0.0839
  248       30.55     0.08278           0      0.08278
  249       31.26     0.08164           0      0.08164
  250       31.99     0.08049           0      0.08049
  251       32.73     0.07932           0      0.07932
  252        33.5     0.07814           0      0.07814
  253       34.28     0.07695           0      0.07695
  254       35.08     0.07574           0      0.07574
  255       35.89     0.07451           0      0.07451
  256       36.73     0.07327           0      0.07327
  257       37.58     0.07202           0      0.07202
  258       38.46     0.07074           0      0.07074
  259       39.36      0.0697           0       0.0697
  260       40.27     0.06897           0      0.06897
  261       41.21     0.06824           0      0.06824
  262       42.17     0.06749           0      0.06749
  263       43.15     0.06674           0      0.06674
  264       44.16     0.06597           0      0.06597
  265       45.19      0.0652           0       0.0652
  266       46.24     0.06442           0      0.06442
  267       47.32     0.06362           0      0.06362
  268       48.42     0.06282           0      0.06282
  269       49.55       0.062           0        0.062
  270        50.7     0.06118           0      0.06118
  271       51.88     0.06034           0      0.06034
  272       53.09     0.05949           0      0.05949
  273       54.33     0.05863           0      0.05863
  274       55.59     0.05776           0      0.05776
  275       56.89     0.05688           0      0.05688
  276       58.21     0.05599           0      0.05599
  277       59.57     0.05508           0      0.05508
  278       60.95     0.05444           0      0.05444
  279       62.37     0.05382           0      0.05382
  280       63.83      0.0532           0       0.0532
  281       65.31     0.05256           0      0.05256
  282       66.83     0.05191           0      0.05191
  283       68.39     0.05126           0      0.05126
  284       69.98      0.0506           0       0.0506
  285       71.61     0.04992           0      0.04992
  286       73.28     0.04924           0      0.04924
  287       74.99     0.04855           0      0.04855
  288       76.74     0.04785           0      0.04785
  289       78.52     0.04714           0      0.04714
  290       80.35     0.04642           0      0.04642
  291       82.22     0.04569           0      0.04569
  292       84.14     0.04496           0      0.04496
  293        86.1     0.04436           0      0.04436
  294        88.1     0.04375           0      0.04375
  295       90.16     0.04313           0      0.04313
  296       92.26      0.0425           0       0.0425
  297       94.41     0.04187           0      0.04187
  298       96.61     0.04122           0      0.04122
  299       98.86     0.04057           0      0.04057
  300       101.2     0.03991           0      0.03991
