-------------------------------G4_H
-------------------------------neutron
### Fill Cross Sections for neutron off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  177       5.957       1.426           0        1.426
  178       6.095       1.402           0        1.402
  179       6.237       1.377           0        1.377
  180       6.383       1.352           0        1.352
  181       6.531       1.326           0        1.326
  182       6.683         1.3           0          1.3
  183       6.839       1.275           0        1.275
  184       6.998       1.255           0        1.255
  185       7.161       1.234           0        1.234
  186       7.328       1.213           0        1.213
  187       7.499       1.191           0        1.191
  188       7.674       1.169           0        1.169
  189       7.852       1.147           0        1.147
  190       8.035       1.124           0        1.124
  191       8.222         1.1           0          1.1
  192       8.414       1.077           0        1.077
  193        8.61       1.061           0        1.061
  194        8.81       1.044           0        1.044
  195       9.016       1.028           0        1.028
  196       9.226       1.011           0        1.011
  197       9.441      0.9933           0       0.9933
  198       9.661      0.9754           0       0.9754
  199       9.886      0.9571           0       0.9571
  200       10.12      0.9384           0       0.9384
  201       10.35      0.9193           0       0.9193
  202       10.59      0.9081           0       0.9081
  203       10.84      0.8971           0       0.8971
  204       11.09      0.8859           0       0.8859
  205       11.35      0.8744           0       0.8744
  206       11.61      0.8626           0       0.8626
  207       11.89      0.8506           0       0.8506
  208       12.16      0.8383           0       0.8383
  209       12.45      0.8257           0       0.8257
  210       12.74      0.8128           0       0.8128
  211       13.03      0.7997           0       0.7997
  212       13.34      0.7862           0       0.7862
  213       13.65      0.7724           0       0.7724
  214       13.96      0.7582           0       0.7582
  215       14.29      0.7438           0       0.7438
  216       14.62       0.729           0        0.729
  217       14.96      0.7139           0       0.7139
  218       15.31      0.6984           0       0.6984
  219       15.67      0.6825           0       0.6825
  220       16.03      0.6663           0       0.6663
  221       16.41      0.6497           0       0.6497
  222       16.79      0.6327           0       0.6327
  223       17.18      0.6153           0       0.6153
  224       17.58      0.5976           0       0.5976
  225       17.99      0.5794           0       0.5794
  226       18.41      0.5607           0       0.5607
  227       18.84      0.5417           0       0.5417
  228       19.28      0.5222           0       0.5222
  229       19.72      0.5076           0       0.5076
  230       20.18      0.4968           0       0.4968
  231       20.65      0.4857           0       0.4857
  232       21.13      0.4744           0       0.4744
  233       21.63      0.4628           0       0.4628
  234       22.13       0.451           0        0.451
  235       22.65      0.4388           0       0.4388
  236       23.17      0.4264           0       0.4264
  237       23.71      0.4137           0       0.4137
  238       24.27      0.4026           0       0.4026
  239       24.83      0.3937           0       0.3937
  240       25.41      0.3846           0       0.3846
  241          26      0.3752           0       0.3752
  242       26.61      0.3656           0       0.3656
  243       27.23      0.3558           0       0.3558
  244       27.86      0.3458           0       0.3458
  245       28.51      0.3355           0       0.3355
  246       29.17      0.3251           0       0.3251
  247       29.85      0.3155           0       0.3155
  248       30.55      0.3085           0       0.3085
  249       31.26      0.3012           0       0.3012
  250       31.99      0.2938           0       0.2938
  251       32.73      0.2863           0       0.2863
  252        33.5      0.2785           0       0.2785
  253       34.28      0.2706           0       0.2706
  254       35.08      0.2625           0       0.2625
  255       35.89      0.2542           0       0.2542
  256       36.73      0.2463           0       0.2463
  257       37.58      0.2409           0       0.2409
  258       38.46      0.2354           0       0.2354
  259       39.36      0.2297           0       0.2297
  260       40.27      0.2239           0       0.2239
  261       41.21       0.218           0        0.218
  262       42.17      0.2119           0       0.2119
  263       43.15      0.2057           0       0.2057
  264       44.16      0.1994           0       0.1994
  265       45.19       0.193           0        0.193
  266       46.24      0.1886           0       0.1886
  267       47.32      0.1841           0       0.1841
  268       48.42      0.1796           0       0.1796
  269       49.55      0.1749           0       0.1749
  270        50.7      0.1701           0       0.1701
  271       51.88      0.1652           0       0.1652
  272       53.09      0.1602           0       0.1602
  273       54.33       0.155           0        0.155
  274       55.59      0.1498           0       0.1498
  275       56.89      0.1464           0       0.1464
  276       58.21       0.143           0        0.143
  277       59.57      0.1395           0       0.1395
  278       60.95       0.136           0        0.136
  279       62.37      0.1324           0       0.1324
  280       63.83      0.1287           0       0.1287
  281       65.31      0.1249           0       0.1249
  282       66.83       0.121           0        0.121
  283       68.39       0.117           0        0.117
  284       69.98      0.1142           0       0.1142
  285       71.61      0.1117           0       0.1117
  286       73.28      0.1091           0       0.1091
  287       74.99      0.1065           0       0.1065
  288       76.74      0.1037           0       0.1037
  289       78.52       0.101           0        0.101
  290       80.35     0.09812           0      0.09812
  291       82.22     0.09522           0      0.09522
  292       84.14     0.09224           0      0.09224
  293        86.1     0.09004           0      0.09004
  294        88.1     0.08819           0      0.08819
  295       90.16     0.08629           0      0.08629
  296       92.26     0.08436           0      0.08436
  297       94.41     0.08237           0      0.08237
  298       96.61     0.08034           0      0.08034
  299       98.86     0.07827           0      0.07827
  300       101.2     0.07614           0      0.07614
  301       103.5     0.07396           0      0.07396
  302       105.9     0.07226           0      0.07226
  303       108.4     0.07093           0      0.07093
  304       110.9     0.06957           0      0.06957
  305       113.5     0.06818           0      0.06818
  306       116.1     0.06676           0      0.06676
  307       118.9     0.06531           0      0.06531
  308       121.6     0.06382           0      0.06382
  309       124.5      0.0623           0       0.0623
  310       127.4     0.06074           0      0.06074
  311       130.3     0.05944           0      0.05944
  312       133.4      0.0585           0       0.0585
  313       136.5     0.05754           0      0.05754
  314       139.6     0.05656           0      0.05656
  315       142.9     0.05556           0      0.05556
  316       146.2     0.05453           0      0.05453
  317       149.6     0.05348           0      0.05348
  318       153.1     0.05241           0      0.05241
  319       156.7     0.05131           0      0.05131
  320       160.3     0.05033           0      0.05033
  321       164.1     0.04968           0      0.04968
  322       167.9     0.04901           0      0.04901
  323       171.8     0.04832           0      0.04832
  324       175.8     0.04762           0      0.04762
  325       179.9      0.0469           0       0.0469
  326       184.1     0.04616           0      0.04616
  327       188.4     0.04541           0      0.04541
  328       192.8     0.04464           0      0.04464
