# FILE_NAME
# REACTION
# BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
# NUMBER_OF_DATA_POINTS
# POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX SIG(MB) STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
#  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
# -------------------------------------------------------------------------------------------------------
# GAMMAP_TOTAL.DAT
# GAMMA P --> X
# 0.          0.938270      0.            0
# 319
 1    0.18800    0.18800    0.18800    7.8800E-02 4.1E-02 4.1E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 46   0.71500    0.71500    0.71500    0.27900    4.5E-03 4.5E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 47   0.73000    0.73000    0.73000    0.28910    2.0E-02 2.0E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 48   0.74000    0.74000    0.74000    0.27560    4.6E-03 4.6E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 49   0.75400    0.75400    0.75400    0.28660    1.9E-02 1.9E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 50   0.76500    0.76500    0.76500    0.26070    4.6E-03 4.6E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 51   0.77800    0.77800    0.77800    0.27510    1.8E-02 1.8E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 52   0.79000    0.79000    0.79000    0.24470    4.6E-03 4.6E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 53   0.80000    0.80000    0.80000    0.20100    2.0E-02 2.0E-02    0.0  0.0  DIETERLE 69      PRL 23, 1191
 54   0.80300    0.80300    0.80300    0.25870    1.6E-02 1.6E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 55   0.81500    0.81500    0.81500    0.22110    4.6E-03 4.6E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 56   0.82800    0.82800    0.82800    0.23160    1.7E-02 1.7E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 57   0.84000    0.84000    0.84000    0.20630    4.6E-03 4.6E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 58   0.85300    0.85300    0.85300    0.22990    1.7E-02 1.7E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 59   0.86500    0.86500    0.86500    0.21370    4.5E-03 4.5E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 60   0.87800    0.87800    0.87800    0.22660    1.6E-02 1.6E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 61   0.89000    0.89000    0.89000    0.20880    4.5E-03 4.5E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 62   0.90400    0.90400    0.90400    0.19980    1.7E-02 1.7E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 63   0.91500    0.91500    0.91500    0.20170    4.7E-03 4.7E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 64   0.92400    0.92400    0.92400    0.19300    1.9E-02 1.9E-02    0.0  0.0  HILPERT 68       PL 27B, 474
 65   0.92900    0.92900    0.92900    0.23360    1.8E-02 1.8E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 66   0.94000    0.94000    0.94000    0.20500    4.6E-03 4.6E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 67   0.95600    0.95600    0.95600    0.21170    1.6E-02 1.6E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 68   0.96500    0.96500    0.96500    0.20150    4.8E-03 4.8E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 69   0.98200    0.98200    0.98200    0.22100    1.5E-02 1.5E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 70   0.99000    0.99000    0.99000    0.21210    4.9E-03 4.9E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 71   1.00800    1.00800    1.00800    0.23240    1.5E-02 1.5E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 72   1.01500    1.01500    1.01500    0.21750    5.0E-03 5.0E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 73   1.03500    1.03500    1.03500    0.22340    1.6E-02 1.6E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 74   1.04000    1.04000    1.04000    0.21520    4.9E-03 4.9E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
