-------------------------------G4_H
-------------------------------anti_proton
### Fill Cross Sections for anti_proton off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  145       2.851      0.1434      0.4876        0.631
  146       2.917      0.1419      0.4829       0.6248
  147       2.985      0.1403      0.4783       0.6187
  148       3.055      0.1388      0.4738       0.6127
  149       3.126      0.1374      0.4693       0.6067
  150       3.199      0.1359      0.4649       0.6008
  151       3.273      0.1344      0.4605       0.5949
  152        3.35       0.133      0.4562       0.5892
  153       3.428      0.1316      0.4519       0.5834
  154       3.508      0.1302      0.4476       0.5778
  155       3.589      0.1288      0.4434       0.5722
  156       3.673      0.1274      0.4393       0.5667
  157       3.758       0.126      0.4351       0.5612
  158       3.846      0.1247      0.4311       0.5558
  159       3.936      0.1233       0.427       0.5504
  160       4.027       0.122      0.4231       0.5451
  161       4.121      0.1207      0.4191       0.5398
  162       4.217      0.1194      0.4152       0.5347
  163       4.315      0.1181      0.4114       0.5295
  164       4.416      0.1169      0.4076       0.5244
  165       4.519      0.1156      0.4038       0.5194
  166       4.624      0.1144      0.4001       0.5144
  167       4.732      0.1131      0.3964       0.5095
  168       4.842      0.1119      0.3927       0.5047
  169       4.955      0.1107      0.3891       0.4998
  170        5.07      0.1095      0.3855       0.4951
  171       5.188      0.1083       0.382       0.4904
  172       5.309      0.1072      0.3785       0.4857
  173       5.433       0.106      0.3751       0.4811
  174       5.559      0.1049      0.3716       0.4765
  175       5.689      0.1037      0.3683        0.472
  176       5.821      0.1026      0.3649       0.4675
  177       5.957      0.1015      0.3616       0.4631
  178       6.095      0.1004      0.3583       0.4587
  179       6.237     0.09932      0.3551       0.4544
  180       6.383     0.09824      0.3519       0.4501
  181       6.531     0.09718      0.3487       0.4459
  182       6.683     0.09613      0.3455       0.4417
  183       6.839     0.09508      0.3424       0.4375
  184       6.998     0.09405      0.3394       0.4334
  185       7.161     0.09303      0.3363       0.4294
  186       7.328     0.09202      0.3333       0.4253
  187       7.499     0.09102      0.3303       0.4214
  188       7.674     0.09003      0.3274       0.4174
  189       7.852     0.08905      0.3245       0.4135
  190       8.035     0.08808      0.3216       0.4097
  191       8.222     0.08712      0.3187       0.4059
  192       8.414     0.08617      0.3159       0.4021
  193        8.61     0.08523      0.3131       0.3984
  194        8.81      0.0843      0.3104       0.3947
  195       9.016     0.08338      0.3076        0.391
  196       9.226     0.08247      0.3049       0.3874
  197       9.441     0.08157      0.3022       0.3838
  198       9.661     0.08068      0.2996       0.3803
  199       9.886      0.0798       0.297       0.3768
  200       10.12     0.07892      0.2944       0.3733
  201       10.35     0.07806      0.2918       0.3699
  202       10.59     0.07721      0.2893       0.3665
  203       10.84     0.07636      0.2868       0.3631
  204       11.09     0.07552      0.2843       0.3598
  205       11.35      0.0747      0.2818       0.3565
  206       11.61     0.07388      0.2794       0.3533
  207       11.89     0.07307       0.277         0.35
  208       12.16     0.07227      0.2746       0.3468
  209       12.45     0.07147      0.2722       0.3437
  210       12.74     0.07069      0.2699       0.3406
  211       13.03     0.06991      0.2676       0.3375
  212       13.34     0.06914      0.2653       0.3344
  213       13.65     0.06839       0.263       0.3314
  214       13.96     0.06763      0.2608       0.3284
  215       14.29     0.06689      0.2586       0.3255
