.-------------------------------G4_H
-------------------------------pi-
### Fill Cross Sections for pi- off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  131       2.065    0.002461    0.000723     0.003184
  132       2.113    0.002453   0.0007314     0.003184
  133       2.163    0.002445     0.00074     0.003185
  134       2.213    0.002438   0.0007486     0.003186
  135       2.265     0.00243   0.0007573     0.003187
  136       2.317    0.002422   0.0007662     0.003189
  137       2.371    0.002415   0.0007751      0.00319
  138       2.427    0.002407   0.0007842     0.003192
  139       2.483      0.0024   0.0007933     0.003193
  140       2.541    0.002393   0.0008026     0.003195
  141         2.6    0.002385    0.000812     0.003197
  142       2.661    0.002378   0.0008215     0.003199
  143       2.723    0.002371   0.0008311     0.003202
  144       2.786    0.002363   0.0008408     0.003204
  145       2.851    0.002356   0.0008506     0.003207
  146       2.917    0.002349   0.0008606      0.00321
  147       2.985    0.002342   0.0008706     0.003213
  148       3.055    0.002335   0.0008808     0.003216
  149       3.126    0.002328   0.0008911     0.003219
  150       3.199    0.002321   0.0009016     0.003223
  151       3.273    0.002314   0.0009121     0.003226
  152        3.35    0.002307   0.0009228      0.00323
  153       3.428      0.0023   0.0009336     0.003234
  154       3.508    0.002293   0.0009446     0.003238
  155       3.589    0.002287   0.0009557     0.003242
  156       3.673     0.00228   0.0009669     0.003247
  157       3.758    0.002273   0.0009782     0.003251
  158       3.846    0.002266   0.0009897     0.003256
  159       3.936     0.00226    0.001001     0.003261
  160       4.027    0.002253    0.001013     0.003266
  161       4.121    0.002246    0.001025     0.003271
  162       4.217     0.00224    0.001037     0.003277
  163       4.315    0.002233    0.001049     0.003282
  164       4.416    0.002226    0.001062     0.003288
  165       4.519     0.00222    0.001074     0.003294
  166       4.624    0.002213    0.001087       0.0033
  167       4.732    0.002207    0.001099     0.003306
  168       4.842      0.0022    0.001112     0.003313
  169       4.955    0.002194    0.001126     0.003319
  170        5.07    0.002187    0.001139     0.003326
  171       5.188    0.002181    0.001152     0.003333
  172       5.309    0.002174    0.001166      0.00334
  173       5.433    0.002168     0.00118     0.003347
  174       5.559    0.002161    0.001193     0.003355
  175       5.689    0.002155    0.001208     0.003362
  176       5.821    0.002148    0.001222      0.00337
  177       5.957    0.002142    0.001236     0.003378
  178       6.095    0.002135    0.001251     0.003386
  179       6.237    0.002129    0.001266     0.003394
  180       6.383    0.002122    0.001281     0.003403
  181       6.531    0.002116    0.001296     0.003412
  182       6.683    0.002109    0.001311      0.00342
  183       6.839    0.002103    0.001327      0.00343
  184       6.998    0.002096    0.001342     0.003439
  185       7.161     0.00209    0.001358     0.003448
  186       7.328    0.002083    0.001375     0.003458
  187       7.499    0.002077    0.001391     0.003468
  188       7.674     0.00207    0.001407     0.003478
  189       7.852    0.002064    0.001424     0.003488
  190       8.035    0.002057    0.001441     0.003498
  191       8.222    0.002051    0.001458     0.003509
  192       8.414    0.002044    0.001476      0.00352
  193        8.61    0.002038    0.001493     0.003531
  194        8.81    0.002031    0.001511     0.003542
  195       9.016    0.002025    0.001529     0.003554
  196       9.226    0.002018    0.001547     0.003565
  197       9.441    0.002011    0.001566     0.003577
  198       9.661    0.002005    0.001585     0.003589
  199       9.886    0.001998    0.001604     0.003602
  200       10.12    0.001992    0.001623     0.003614
  201       10.35    0.001985    0.001642     0.003627
  202       10.59    0.001978    0.001662      0.00364
  203       10.84    0.001972    0.001682     0.003654
  204       11.09    0.001965    0.001702     0.003667
  205       11.35    0.001958    0.001723     0.003681
  206       11.61    0.001952    0.001743     0.003695
  207       11.89    0.001945    0.001764     0.003709
  208       12.16    0.001938    0.001786     0.003724
  209       12.45    0.001932    0.001807     0.003739
  210       12.74    0.001925    0.001829     0.003754
  211       13.03    0.001919    0.001851      0.00377
  212       13.34    0.001912    0.001874     0.003786
  213       13.65    0.001905    0.001896     0.003802
  214       13.96    0.001899    0.001919     0.003818
  215       14.29    0.001893    0.001943     0.003835
  216       14.62    0.001886    0.001966     0.003852
  217       14.96     0.00188     0.00199      0.00387
  218       15.31    0.001874    0.002014     0.003888
  219       15.67    0.001867    0.002039     0.003906
  220       16.03    0.001861    0.002064     0.003925
  221       16.41    0.001855    0.002089     0.003944
  222       16.79    0.001849    0.002115     0.003964
  223       17.18    0.001843     0.00214     0.003984
  224       17.58    0.001837    0.002167     0.004004
  225       17.99    0.001832    0.002193     0.004025
  226       18.41    0.001826     0.00222     0.004046
  227       18.84     0.00182    0.002248     0.004068
  228       19.28    0.001815    0.002275      0.00409
  229       19.72    0.001809    0.002303     0.004113
  230       20.18    0.001804    0.002332     0.004136
  231       20.65    0.001799    0.002361      0.00416
  232       21.13    0.001794     0.00239     0.004184
  233       21.63     0.00179     0.00242     0.004209
  234       22.13    0.001785     0.00245     0.004235
  235       22.65    0.001781     0.00248     0.004261
  236       23.17    0.001776    0.002511     0.004287
  237       23.71    0.001772    0.002542     0.004315
  238       24.27    0.001768    0.002574     0.004343
  239       24.83    0.001765    0.002606     0.004371
  240       25.41    0.001761    0.002639     0.004401
  241          26    0.001758    0.002672     0.004431
  242       26.61    0.001756    0.002706     0.004462
  243       27.23    0.001753     0.00274     0.004493
  244       27.86    0.001751    0.002775     0.004526
  245       28.51     0.00175     0.00281     0.004559
  246       29.17    0.001749    0.002845     0.004594
  247       29.85    0.001748    0.002881     0.004629
  248       30.55    0.001748    0.002918     0.004666
  249       31.26    0.001748    0.002955     0.004704
  250       31.99     0.00175    0.002993     0.004742
  251       32.73    0.001751    0.003129      0.00488
  252        33.5    0.001754    0.003289     0.005043
  253       34.28    0.001757    0.003452     0.005209
  254       35.08    0.001761    0.003618     0.005379
  255       35.89    0.001766    0.003786     0.005552
  256       36.73    0.001772    0.003956     0.005728
  257       37.58    0.001779    0.004129     0.005908
  258       38.46    0.001787    0.004304     0.006091
  259       39.36    0.001796    0.004483     0.006278
  260       40.27    0.001806    0.004664      0.00647
  261       41.21    0.001817    0.004847     0.006665
  262       42.17     0.00183    0.005034     0.006864
  263       43.15    0.001845    0.005223     0.007068
  264       44.16    0.001861    0.005416     0.007277
  265       45.19    0.001879    0.005611      0.00749
  266       46.24    0.001898     0.00581     0.007708
  267       47.32     0.00192    0.006011     0.007931
  268       48.42    0.001944    0.006216      0.00816
  269       49.55     0.00197    0.006424     0.008394
  270        50.7    0.001999    0.006635     0.008634
  271       51.88     0.00203     0.00685      0.00888
  272       53.09    0.002065    0.007068     0.009133
  273       54.33    0.002102     0.00729     0.009392
  274       55.59    0.002143    0.007515     0.009658
  275       56.89    0.002188    0.007744     0.009932
  276       58.21    0.002237    0.007977      0.01021
  277       59.57     0.00229    0.008213       0.0105
  278       60.95    0.002347    0.008453       0.0108
  279       62.37     0.00241    0.008698      0.01111
  280       63.83    0.002478    0.008946      0.01142
  281       65.31    0.002552    0.009199      0.01175
  282       66.83    0.002632    0.009666       0.0123
  283       68.39     0.00272     0.01014      0.01286
  284       69.98    0.002814     0.01063      0.01344
  285       71.61    0.002917     0.01112      0.01404
  286       73.28    0.003029     0.01162      0.01465
  287       74.99     0.00315     0.01213      0.01528
