-------------------------------G4_H
-------------------------------kaon+
### Fill Cross Sections for kaon+ off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  136       2.317     0.01057    0.002189      0.01276
  137       2.371     0.01058    0.002191      0.01277
  138       2.427     0.01059    0.002192      0.01278
  139       2.483     0.01059    0.002194      0.01279
  140       2.541      0.0106    0.002196       0.0128
  141         2.6     0.01061    0.002198      0.01281
  142       2.661     0.01062      0.0022      0.01282
  143       2.723     0.01062    0.002202      0.01283
  144       2.786     0.01063    0.002204      0.01283
  145       2.851     0.01064    0.002206      0.01284
  146       2.917     0.01064    0.002208      0.01285
  147       2.985     0.01065     0.00221      0.01286
  148       3.055     0.01066    0.002212      0.01287
  149       3.126     0.01067    0.002214      0.01288
  150       3.199     0.01068    0.002217      0.01289
  151       3.273     0.01068    0.002219       0.0129
  152        3.35     0.01069    0.002221      0.01291
  153       3.428      0.0107    0.002223      0.01292
  154       3.508     0.01071    0.002226      0.01293
  155       3.589     0.01072    0.002228      0.01294
  156       3.673     0.01072     0.00223      0.01295
  157       3.758     0.01073    0.002233      0.01296
  158       3.846     0.01074    0.002235      0.01298
  159       3.936     0.01075    0.002237      0.01299
  160       4.027     0.01076     0.00224        0.013
  161       4.121     0.01077    0.002242      0.01301
  162       4.217     0.01078    0.002245      0.01302
  163       4.315     0.01078    0.002247      0.01303
  164       4.416     0.01079     0.00225      0.01304
  165       4.519      0.0108    0.002253      0.01306
  166       4.624     0.01081    0.002255      0.01307
  167       4.732     0.01082    0.002258      0.01308
  168       4.842     0.01083    0.002261      0.01309
  169       4.955     0.01084    0.002263       0.0131
  170        5.07     0.01085    0.002266      0.01312
  171       5.188     0.01086    0.002269      0.01313
  172       5.309     0.01087    0.002272      0.01314
  173       5.433     0.01088    0.002275      0.01316
  174       5.559     0.01089    0.002278      0.01317
  175       5.689      0.0109    0.002281      0.01318
  176       5.821     0.01091    0.002284       0.0132
  177       5.957     0.01092    0.002287      0.01321
  178       6.095     0.01093     0.00229      0.01322
  179       6.237     0.01094    0.002293      0.01324
  180       6.383     0.01096    0.002296      0.01325
  181       6.531     0.01097      0.0023      0.01327
  182       6.683     0.01098    0.002303      0.01328
  183       6.839     0.01099    0.002306       0.0133
  184       6.998       0.011     0.00231      0.01331
  185       7.161     0.01101    0.002313      0.01333
  186       7.328     0.01102    0.002317      0.01334
  187       7.499     0.01104     0.00232      0.01336
  188       7.674     0.01105    0.002324      0.01337
  189       7.852     0.01106    0.002327      0.01339
  190       8.035     0.01107    0.002331       0.0134
  191       8.222     0.01109    0.002335      0.01342
  192       8.414      0.0111    0.002338      0.01344
  193        8.61     0.01111    0.002342      0.01345
  194        8.81     0.01112    0.002346      0.01347
  195       9.016     0.01114     0.00235      0.01349
  196       9.226     0.01115    0.002354       0.0135
  197       9.441     0.01116    0.002358      0.01352
  198       9.661     0.01118    0.002362      0.01354
  199       9.886     0.01119    0.002366      0.01356
  200       10.12      0.0112    0.004904       0.0161
  201       10.35      0.0112    0.004911      0.01611
  202       10.59     0.01121    0.004918      0.01612
  203       10.84     0.01121    0.004925      0.01613
  204       11.09     0.01121    0.004932      0.01614
  205       11.35     0.01121     0.00494      0.01615
  206       11.61     0.01122    0.004947      0.01616
  207       11.89     0.01122    0.004955      0.01617
  208       12.16     0.01122    0.004962      0.01618
  209       12.45     0.01122     0.00497      0.01619
  210       12.74     0.01123    0.004978       0.0162
  211       13.03     0.01123    0.004986      0.01621
  212       13.34     0.01123    0.004994      0.01622
  213       13.65     0.01123    0.005002      0.01624
  214       13.96     0.01124     0.00501      0.01625
  215       14.29     0.01124    0.005018      0.01626
  216       14.62     0.01124    0.005027      0.01627
  217       14.96     0.01124    0.005035      0.01628
  218       15.31     0.01125    0.005044      0.01629
  219       15.67     0.01125    0.005053       0.0163
  220       16.03     0.01125    0.005062      0.01632
  221       16.41     0.01126    0.005071      0.01633
  222       16.79     0.01126     0.00508      0.01634
  223       17.18     0.01126    0.005089      0.01635
  224       17.58     0.01127    0.005098      0.01636
  225       17.99     0.01127    0.005108      0.01638
  226       18.41     0.01127    0.005117      0.01639
  227       18.84     0.01128    0.005127       0.0164
  228       19.28     0.01128    0.005137      0.01642
  229       19.72     0.01128    0.005146      0.01643
  230       20.18     0.01129    0.005156      0.01644
  231       20.65     0.01129    0.005167      0.01646
  232       21.13     0.01129    0.005177      0.01647
  233       21.63      0.0113    0.005187      0.01648
  234       22.13      0.0113    0.005198       0.0165
  235       22.65      0.0113    0.005209      0.01651
  236       23.17     0.01131    0.005219      0.01653
  237       23.71     0.01131     0.00523      0.01654
  238       24.27     0.01131    0.005241      0.01655
  239       24.83     0.01132    0.005253      0.01657
  240       25.41     0.01132    0.005264      0.01658
  241          26     0.01132    0.005275       0.0166
  242       26.61     0.01133    0.005287      0.01662
  243       27.23     0.01133    0.005299      0.01663
  244       27.86     0.01134    0.005311      0.01665
  245       28.51     0.01134    0.005323      0.01666
  246       29.17     0.01134    0.005335      0.01668
  247       29.85     0.01135    0.005347       0.0167
  248       30.55     0.01135     0.00536      0.01671
  249       31.26     0.01136    0.005373      0.01673
  250       31.99     0.01136    0.005385      0.01675
  251       32.73     0.01137    0.005398      0.01676
  252        33.5     0.01137    0.005411      0.01678
  253       34.28     0.01137    0.005425       0.0168
  254       35.08     0.01138    0.005438      0.01682
  255       35.89     0.01138    0.005452      0.01683
  256       36.73     0.01139    0.005465      0.01685
  257       37.58     0.01139    0.005479      0.01687
  258       38.46      0.0114    0.005493      0.01689
  259       39.36      0.0114    0.005507      0.01691
  260       40.27     0.01141    0.005522      0.01693
  261       41.21     0.01141    0.005536      0.01695
  262       42.17     0.01142    0.005551      0.01697
  263       43.15     0.01142    0.005566      0.01699
  264       44.16     0.01143    0.005581      0.01701
  265       45.19     0.01143    0.005596      0.01703
  266       46.24     0.01144    0.005611      0.01705
  267       47.32     0.01144    0.005626      0.01707
  268       48.42     0.01145    0.005642      0.01709
  269       49.55     0.01145    0.005658      0.01711
  270        50.7     0.01146    0.005674      0.01713
  271       51.88     0.01146     0.00569      0.01715
  272       53.09     0.01147    0.005706      0.01718
  273       54.33     0.01148    0.005722       0.0172
  274       55.59     0.01148    0.005739      0.01722
  275       56.89     0.01149    0.005755      0.01724
  276       58.21     0.01149    0.005772      0.01727
  277       59.57      0.0115    0.005789      0.01729
  278       60.95     0.01151    0.005806      0.01731
  279       62.37     0.01151    0.005823      0.01733
  280       63.83     0.01152     0.00584      0.01736
  281       65.31     0.01152    0.005858      0.01738
  282       66.83     0.01153    0.005875      0.01741
  283       68.39     0.01154    0.005893      0.01743
  284       69.98     0.01154     0.00591      0.01745
  285       71.61     0.01155    0.005928      0.01748
  286       73.28     0.01156    0.005946       0.0175
  287       74.99     0.01156    0.005964      0.01753
  288       76.74     0.01157    0.005982      0.01755
  289       78.52     0.01158       0.006      0.01758
  290       80.35     0.01159    0.006018       0.0176
  291       82.22     0.01159    0.006036      0.01763
  292       84.14      0.0116    0.006054      0.01765
  293        86.1     0.01162    0.006072      0.01769
  294        88.1     0.01163     0.00609      0.01772
  295       90.16     0.01165    0.006108      0.01775
  296       92.26     0.01166    0.006126      0.01779
  297       94.41     0.01168    0.006144      0.01782
  298       96.61     0.01169    0.006162      0.01786
  299       98.86     0.01171    0.006179      0.01789
  300       101.2     0.01173    0.006197      0.01792
  301       103.5     0.01174    0.006214      0.01796
  302       105.9     0.01176    0.006231      0.01799
  303       108.4     0.01178    0.006248      0.01803
  304       110.9      0.0118    0.006265      0.01806
  305       113.5     0.01181    0.006281       0.0181
  306       116.1     0.01183    0.006298      0.01813
  307       118.9     0.01185    0.006313      0.01816
  308       121.6     0.01187    0.006329       0.0182
  309       124.5     0.01189    0.006344      0.01823
  310       127.4     0.01191    0.006358      0.01827
  311       130.3     0.01193    0.006372       0.0183
  312       133.4     0.01195    0.006386      0.01833
  313       136.5     0.01197    0.006399      0.01837
  314       139.6     0.01199    0.006411       0.0184
  315       142.9       0.012    0.006422      0.01843
  316       146.2     0.01201    0.006433      0.01845
  317       149.6     0.01202    0.006443      0.01847
  318       153.1     0.01204    0.006452      0.01849
  319       156.7     0.01205    0.006461      0.01851
  320       160.3     0.01206    0.006468      0.01853
  321       164.1     0.01207    0.006474      0.01854
  322       167.9     0.01208    0.006479      0.01856
  323       171.8     0.01209    0.006483      0.01858
  324       175.8      0.0121    0.006486      0.01859
  325       179.9     0.01212    0.006487       0.0186
  326       184.1     0.01213    0.006488      0.01862
  327       188.4     0.01214    0.006486      0.01863
  328       192.8     0.01215    0.006484      0.01864
  329       197.2     0.01217     0.00648      0.01865
  330       201.8     0.01218    0.006474      0.01865
  331       206.5     0.01219    0.006467      0.01866
  332       211.3     0.01221    0.006459      0.01867
  333       216.3     0.01222    0.006449      0.01867
  334       221.3     0.01223    0.006437      0.01867
  335       226.5     0.01225    0.006424      0.01867
  336       231.7     0.01226    0.006409      0.01867
  337       237.1     0.01228    0.006393      0.01867
  338       242.7     0.01229    0.006376      0.01867
  339       248.3     0.01231    0.006357      0.01867
  340       254.1     0.01232    0.006338      0.01866
  341         260     0.01234    0.006317      0.01866
  342       266.1     0.01235    0.006296      0.01865
  343       272.3     0.01237    0.006274      0.01865
  344       278.6     0.01239    0.006252      0.01864
  345       285.1      0.0124     0.00623      0.01863
  346       291.7     0.01242    0.006208      0.01863
  347       298.5     0.01244    0.006187      0.01863
  348       305.5     0.01246    0.006167      0.01862
  349       312.6     0.01247    0.006149      0.01862
  350       319.9     0.01249    0.006132      0.01863
  351       327.3      0.0125    0.006119      0.01862
  352         335      0.0125    0.006108      0.01861
  353       342.8      0.0125    0.006101       0.0186
  354       350.8      0.0125    0.006098       0.0186
  355       358.9      0.0125    0.006099       0.0186
  356       367.3      0.0125    0.006106      0.01861
  357       375.8      0.0125    0.006119      0.01862
  358       384.6      0.0125    0.006138      0.01864
  359       393.6      0.0125    0.006164      0.01866
  360       402.7      0.0125    0.006198       0.0187
  361       412.1     0.01248    0.006239      0.01872
  362       421.7     0.01246    0.006289      0.01875
  363       431.5     0.01244    0.006347      0.01878
  364       441.6     0.01241    0.006414      0.01883
  365       451.9     0.01239     0.00649      0.01888
  366       462.4     0.01236    0.006575      0.01894
  367       473.2     0.01234     0.00667      0.01901
  368       484.2     0.01231    0.006774      0.01909
  369       495.5     0.01229    0.006886      0.01917
  370         507     0.01226    0.007007      0.01927
  371       518.8     0.01223    0.007137      0.01937
  372       530.9      0.0122    0.007275      0.01948
  373       543.3     0.01215     0.00742      0.01957
  374       555.9      0.0121    0.007572      0.01967
  375       568.9     0.01204     0.00773      0.01977
  376       582.1     0.01198    0.007894      0.01987
  377       595.7     0.01192    0.008063      0.01998
  378       609.5     0.01185    0.008236      0.02009
  379       623.7     0.01179    0.008412       0.0202
  380       638.3     0.01169    0.008591      0.02028
  381       653.1     0.01159    0.008772      0.02036
  382       668.3     0.01149    0.008953      0.02044
  383       683.9     0.01139    0.009135      0.02052
  384       699.8     0.01128    0.009316       0.0206
  385       716.1     0.01121    0.009496      0.02071
  386       732.8     0.01127    0.009673      0.02094
  387       749.9     0.01132    0.009848      0.02117
  388       767.4     0.01138     0.01002       0.0214
  389       785.2     0.01144     0.01019      0.02163
  390       803.5      0.0115     0.01035      0.02185
  391       822.2     0.01118     0.01051      0.02169
  392       841.4     0.01085     0.01066      0.02151
  393         861     0.01052     0.01081      0.02133
  394         881     0.01017     0.01095      0.02112
  395       901.6    0.009875     0.01109      0.02096
  396       922.6    0.009763     0.01122      0.02098
  397       944.1    0.009648     0.01134      0.02099
  398       966.1    0.009531     0.01146      0.02099
  399       988.6    0.009412     0.01157      0.02098
  400        1012    0.009268     0.01168      0.02094
  401        1035    0.009118     0.01178      0.02089
  402        1059    0.008966     0.01187      0.02084
  403        1084     0.00881     0.01196      0.02077
  404        1109      0.0087     0.01204      0.02074
  405        1135    0.008592     0.01212      0.02071
  406        1161    0.008481     0.01219      0.02067
  407        1189    0.008364     0.01226      0.02062
  408        1216    0.008233     0.01232      0.02056
  409        1245      0.0081     0.01238      0.02048
  410        1274    0.007964     0.01244       0.0204
  411        1303    0.007825     0.01249      0.02031
  412        1334    0.007683     0.01254      0.02022
  413        1365    0.007538     0.01258      0.02012
  414        1396    0.007427     0.01262      0.02005
  415        1429    0.007326     0.01266      0.01999
  416        1462    0.007222      0.0127      0.01992
  417        1496    0.007117     0.01273      0.01985
  418        1531    0.007009     0.01277      0.01978
  419        1567    0.006899      0.0128       0.0197
  420        1603    0.006786     0.01283      0.01961
  421        1641    0.006671     0.01285      0.01952
  422        1679    0.006553     0.01288      0.01943
  423        1718    0.006433     0.01291      0.01934
  424        1758     0.00631     0.01293      0.01924
  425        1799    0.006222     0.01295      0.01918
  426        1841    0.006137     0.01298      0.01911
  427        1884    0.006049       0.013      0.01905
  428        1928    0.005959     0.01302      0.01898
  429        1972    0.005868     0.01304      0.01891
  430        2018    0.005774     0.01306      0.01884
  431        2065    0.005678     0.01308      0.01876
  432        2113     0.00558      0.0131      0.01868
  433        2163    0.005485     0.01312      0.01861
  434        2213    0.005408     0.01314      0.01855
  435        2265    0.005329     0.01316      0.01849
  436        2317    0.005249     0.01318      0.01843
  437        2371    0.005178      0.0132      0.01838
  438        2427    0.005122     0.01322      0.01834
  439        2483    0.005064     0.01324      0.01831
  440        2541    0.005006     0.01326      0.01827
  441        2600    0.004946     0.01328      0.01823
  442        2661    0.004884      0.0133      0.01819
  443        2723    0.004822     0.01332      0.01814
  444        2786    0.004758     0.01334       0.0181
  445        2851    0.004692     0.01336      0.01806
  446        2917    0.004625     0.01338      0.01801
  447        2985    0.004556      0.0134      0.01796
  448        3055    0.004486     0.01343      0.01791
  449        3126    0.004414     0.01345      0.01786
  450        3199    0.004341     0.01347      0.01781
  451        3273    0.004265     0.01349      0.01775
  452        3350    0.004189     0.01351       0.0177
  453        3428     0.00411     0.01353      0.01764
  454        3508    0.004029     0.01355      0.01758
  455        3589    0.003974     0.01357      0.01755
  456        3673    0.003931      0.0136      0.01753
  457        3758    0.003888     0.01362      0.01751
